ticket_id,jira_status,jira_id,reason,total_attachments,successful_attachments,failed_attachments,attachment_type,created_at,updated_at
179,success,FTJM-47682,,0,0,0,none,2025-08-25T23:18:02.187139,2025-08-25T23:18:02.187139
180,success,FTJM-47683,,0,0,0,none,2025-08-25T23:18:02.872185,2025-08-25T23:18:02.872185
181,success,FTJM-47684,,0,0,0,none,2025-08-25T23:18:03.268024,2025-08-25T23:18:03.268024
184,success,FTJM-47686,,0,0,0,none,2025-08-25T23:18:04.260143,2025-08-25T23:18:04.260143
186,success,FTJM-47687,,0,0,0,none,2025-08-25T23:18:04.801344,2025-08-25T23:18:04.801344
165,success,FTJM-47670,,6,6,0,mixed,2025-08-25T23:18:05.219464,2025-08-25T23:18:05.219464
183,success,FTJM-47685,,1,1,0,conversation,2025-08-25T23:18:05.541849,2025-08-25T23:18:05.541849
189,success,FTJM-47689,,0,0,0,none,2025-08-25T23:18:05.901406,2025-08-25T23:18:05.901406
190,success,FTJM-47690,,0,0,0,none,2025-08-25T23:18:06.718176,2025-08-25T23:18:06.718176
187,success,FTJM-47688,,2,2,0,attachment,2025-08-25T23:18:07.260306,2025-08-25T23:18:07.260306
191,success,FTJM-47691,,1,1,0,attachment,2025-08-25T23:18:07.805514,2025-08-25T23:18:07.805514
194,success,FTJM-47694,,0,0,0,none,2025-08-25T23:18:08.474117,2025-08-25T23:18:08.474117
195,success,FTJM-47695,,0,0,0,none,2025-08-25T23:18:08.890742,2025-08-25T23:18:08.890742
193,success,FTJM-47693,,1,1,0,conversation,2025-08-25T23:18:09.145685,2025-08-25T23:18:09.145685
192,success,FTJM-47692,,1,1,0,attachment,2025-08-25T23:18:09.568937,2025-08-25T23:18:09.568937
196,success,FTJM-47696,,0,0,0,none,2025-08-25T23:18:09.935332,2025-08-25T23:18:09.935332
200,success,FTJM-47699,,0,0,0,none,2025-08-25T23:18:10.696276,2025-08-25T23:18:10.696276
198,success,FTJM-47697,,1,1,0,attachment,2025-08-25T23:18:11.273843,2025-08-25T23:18:11.273843
199,success,FTJM-47698,,1,1,0,attachment,2025-08-25T23:18:11.376853,2025-08-25T23:18:11.376853
203,success,FTJM-47701,,1,1,0,attachment,2025-08-25T23:18:13.038657,2025-08-25T23:18:13.038657
206,success,FTJM-47704,,0,0,0,none,2025-08-25T23:18:13.509088,2025-08-25T23:18:13.509088
204,success,FTJM-47702,,1,1,0,attachment,2025-08-25T23:18:13.913798,2025-08-25T23:18:13.913798
209,success,FTJM-47705,,0,0,0,none,2025-08-25T23:18:14.197556,2025-08-25T23:18:14.197556
